"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.10","Carangidae","Seriola","dumerili",414.13365,1872.45618,1,1551.20652148156,41.413365,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carangidae","Seriola","dumerili",446.80786,2511.48532,1,1917.10269443004,44.680786,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carangidae","Seriola","dumerili",446.26441,2083.98847,1,1910.60096494785,44.626441,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carangidae","Seriola","dumerili",452.64395,1327.79347,1,1987.83343528168,45.264395,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carangidae","Seriola","dumerili",459.07871,2500.12803,1,2067.76275958577,45.907871,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carangidae","Seriola","hippos",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Carcharhinidae","Galeocerdo","cuvier",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Chaetodontidae","Chaetodon","assarius",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Glaucosomatidae","Glaucosoma","buergeri",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Haemulidae","Diagramma","pictum labiosum",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Labridae","Bodianus","bilunulatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Labridae","Bodianus","vulpinus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Labridae","Choerodon","rubescens",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
